41001001,"The beginning of the good news of Jesus Christ, the Son of God."
41001002,"As it is written in Isaiah the prophet, Behold, I send my messenger ahead of you, Who will prepare your way;"
41001003,"The voice of one crying in the wilderness, Make you ready the way of the Lord, Make his paths straight;"
41001004,"John came, who baptized in the wilderness and preached the baptism of repentance for forgiveness of sins."
41001005,"And there went out to him all the country of Judaea, and all the people of Jerusalem; and they were baptized by him in the river Jordan, confessing their sins."
41001006,"And John was clothed with camel’s hair, and had a leather belt around his waist, and did eat locusts and wild honey."
41001007,"And he preached, saying, There comes after me he that is mightier than I, the strap of whose sandals I am not worthy to stoop down and untie."
41001008,I baptized you with water; but he will baptize you with the Holy Spirit.
41001009,"And it came to pass in those days, that Jesus came from Nazareth of Galilee, and was baptized by John in the Jordan."
41001010,"And immediately coming up out of the water, he saw the heavens torn apart, and the Spirit as a dove descending upon him:"
41001011,"And a voice came out of the heavens, You are my beloved Son, in you I am well pleased."
41001012,And immediately the Spirit drove him out into the wilderness.
41001013,And he was in the wilderness forty days tempted by Satan; and he was with the wild beasts; and the angels served him.
41001014,"Now after that John was delivered up, Jesus came into Galilee, preaching the good news of God,"
41001015,"and saying, The time is fulfilled, and the kingdom of God is at hand: repent you, and believe in the good news."
41001016,"And passing along by the sea of Galilee, he saw Simon and Andrew the brother of Simon casting a net in the sea: for they were fishers."
41001017,"And Jesus said to them, Follow me, and I will make you into fishers of men."
41001018,"And immediately they left the nets, and followed him."
41001019,"And going on a little further, he saw James the son of Zebedee, and John his brother, who also were in the boat mending the nets."
41001020,"And immediately he called them: and they left their father Zebedee in the boat with the hired servants, and went after him."
41001021,And they go into Capernaum; and immediately on the sabbath day he entered into the synagogue and taught.
41001022,"And they were astonished at his teaching: for he taught them as having authority, and not as the scribes."
41001023,"And immediately there was in their synagogue a man with an unclean spirit; and he cried out,"
41001024,"saying, What have we to do with you, you Jesus of Nazareth? have you come to destroy us? I know who you are, the Holy One of God."
41001025,"And Jesus scolded him, saying, Hold your peace, and come out of him."
41001026,"And the unclean spirit, tearing him and crying with a loud voice, came out of him."
41001027,"And they were all amazed, so much so that they questioned among themselves, saying, What is this? a new teaching! with authority he commands even the unclean spirits, and they obey him."
41001028,And the report of him went out immediately everywhere into all the region of Galilee round about.
41001029,"And immediately, when they were come out of the synagogue, they came into the house of Simon and Andrew, with James and John."
41001030,Now Simon’s wife’s mother lay sick of a fever; and immediately they tell him of her:
41001031,"and he came and took her by the hand, and raised her up; and the fever left her, and she served them."
41001032,"And at even, when the sun did set, they brought to him all that were sick, and them that were possessed with demons."
41001033,And all the city was gathered together at the door.
41001034,"And he healed many that were sick with many diseases, and cast out many demons; and he suffered not the demons to speak, because they knew him."
41001035,"And in the morning, a great while before day, he rose up and went out, and departed into a deserted place, and there prayed."
41001036,And Simon and they that were with him followed after him;
41001037,"and they found him, and say to him, All are seeking you."
41001038,"And he said to them, Let us go elsewhere into the next towns, that I may preach there also; for to this end i came out."
41001039,"And he went into their synagogues throughout all Galilee, preaching and casting out demons."
41001040,"And there came to him a leper, begging him, and kneeling down to him, and saying to him, If you will, you can make me clean."
41001041,"And being moved with compassion, he stretched out his hand, and touched him, and said to him, I will; be you made clean."
41001042,"And immediately the leprosy departed from him, and he was made clean."
41001043,"And he strictly instructed him, and immediately sent him out,"
41001044,"and said to him, See you say nothing to any man: but go your way, show yourself to the priest, and offer for your cleansing the things which Moses commanded, for a testimony to them."
41001045,"But he went out, and began to announce it much, and to spread abroad the matter, so much so that Jesus could no more openly enter into a city, but was without in deserted places: and they came to him from every quarter."
41002001,"And when he entered again into Capernaum after some days, it was rumored that he was in the house."
41002002,"And many were gathered together, so that there was no longer room for them, no, not even about the door: and he spoke the word to them."
41002003,"And they come, bringing to him a man paralyzed, borne of four."
41002004,"And when they could not come near to him for the crowd, they uncovered the roof where he was: and when they had broken it up, they let down the bed on which the paralyzed lay."
41002005,"And Jesus seeing their faith said to the paralyzed, Son, your sins are forgiven."
41002006,"But there were certain of the scribes sitting there, and arguing in their hearts,"
41002007,"Why does this man so speak? he blasphemes: who can forgive sins but one, even God?"
41002008,"And immediately Jesus, knowing in his spirit that they so argued within themselves, said to them, Why argue you these things in your hearts?"
41002009,"Whether is easier, to say to the paralyzed, Your sins are forgiven; or to say, Arise, and take up your bed, and walk?"
41002010,"But that you may know that the Son of man has power on earth to forgive sins (he said to the paralyzed),"
41002011,"I say to you, Arise, take up your bed, and go to your house."
41002012,"And he got up, and immediately took up the bed, and went out before them all; so much so that they were all amazed, and glorified God, saying, We never saw it on this fashion."
41002013,"And he went out again by the sea side; and all the crowd gathered to him, and he taught them."
41002014,"And as he passed by, he saw Levi the son of Alphaeus sitting at the toll booth, and he said to him, Follow me. And he got up and followed him."
41002015,"And it came to pass, that he was sitting at table in his house, and many tax collectors and sinners sat down with Jesus and his disciples: for there were many, and they followed him."
41002016,"And the scribes of the Pharisees, when they saw that he was eating with the sinners and tax collectors, said to his disciples, He eats and drinks with tax collectors and sinners."
41002017,"And when Jesus heard it, he said to them, They that are whole have no need of a doctor, but they that are sick: I came not to call the righteous, but sinners."
41002018,"And John’s disciples and the Pharisees were fasting: and they come and say to him, Why do John’s disciples and the disciples of the Pharisees fast, but your disciples fast not?"
41002019,"And Jesus said to them, Can the sons of the bridal-chamber fast, while the groom is with them? as long as they have the groom with them, they cannot fast."
41002020,"But the days will come, when the groom will be taken away from them, and then will they fast in that day."
41002021,"No man sews a piece of unprepared cloth on an old garment: else that which should fill it up takes from it, the new from the old, and a worse torn is made."
41002022,"And no man puts new wine into old wineskins: else the wine will burst the skins, and the wine perishes, and the skins: but they put new wine into fresh wineskins."
41002023,"And it came to pass, that he was going on the sabbath day through the cornfields; and his disciples began, as they went, to pluck the ears of corn."
41002024,"And the Pharisees said to him, Behold, why do they on the sabbath day that which is not lawful?"
41002025,"And he said to them, Did you never read what David did, when he had need, and was hungry, he, and they that were with him?"
41002026,"How he entered into the house of God when Abiathar was high priest, and did eat the bread of the Presence, which it is not lawful to eat save for the priests, and gave also to them that were with him?"
41002027,"And he said to them, The sabbath was made for man, and not man for the sabbath:"
41002028,so that the Son of man is lord even of the sabbath.
41003001,And he entered again into the synagogue; and there was a man there which had his hand withered.
41003002,"And they watched him, whether he would heal him on the sabbath day; that they might accuse him."
41003003,"And he said to the man that had his hand withered, Stand up."
41003004,"And he said to them, Is it lawful on the sabbath day to do good, or to do harm? to save a life, or to kill? But they held their peace."
41003005,"And when he had looked round about on them with anger, being grieved at the hardening of their heart, he said to the man, Stretch out your hand. And he stretched it out: and his hand was restored."
41003006,"And the Pharisees went out, and immediately with the Herodians took counsel against him, how they might destroy him."
41003007,"And Jesus with his disciples withdrew to the sea: and a great crowd from Galilee followed: and from Judaea,"
41003008,"and from Jerusalem, and from Idumaea, and beyond Jordan, and about Tyre and Sidon, a great crowd, hearing what great things he did, came to him."
41003009,"And he spoke to his disciples, that a little boat should wait on him because of the crowd, lest they should crowd him:"
41003010,for he had healed many; so much so that as many as had plagues pressed upon him that they might touch him.
41003011,"And the unclean spirits, whensoever they saw him, fell down before him, and cried, saying, You are the Son of God."
41003012,And he instructed them much that they should not make him known.
41003013,"And he went up into the mountain, and calls to him whom he himself would: and they went to him."
41003014,"And he appointed twelve, that they might be with him, and that he might send them out to preach,"
41003015,and to have authority to cast out demons:
41003016,and Simon he named Peter;
41003017,"and James the son of Zebedee, and John the brother of James; and them he named Boanerges, which is, Sons of thunder:"
41003018,"and Andrew, and Philip, and Bartholomew, and Matthew, and Thomas, and James the son of Alphaeus, and Thaddaeus, and Simon the Cananaean,"
41003019,"and Judas Iscariot, who betrayed him. And he came into a house."
41003020,"And the crowd came together again, so that they could not so much as eat bread."
41003021,"And when his friends heard it, they went out to lay hold on him: for they said, He is beside himself."
41003022,"And the scribes which came down from Jerusalem said, He has Beelzebub, and, By the prince of the demons casts he out the demons."
41003023,"And he called them to him, and said to them in parables, How can Satan cast out Satan?"
41003024,"And if a kingdom be divided against itself, that kingdom cannot stand."
41003025,"And if a house be divided against itself, that house will not be able to stand."
41003026,"And if Satan has risen up against himself, and is divided, he cannot stand, but has an end."
41003027,"But no one can enter into the house of the strong man, and spoil his goods, except he first bind the strong man; and then he will spoil his house."
41003028,"Truly I say to you, All their sins will be forgiven to the sons of men, and their blasphemies whatever so they will blaspheme:"
41003029,"but whoever will blaspheme against the Holy Spirit has never forgiveness, but is guilty of an eternal sin:"
41003030,"because they said, He has an unclean spirit."
41003031,"And there come his mother and his brothers; and, standing without, they sent to him, calling him."
41003032,"And a crowd was sitting about him; and they say to him, Behold, your mother and your brothers without seek for you."
41003033,"And he answered them, and said, Who is my mother and my brothers?"
41003034,"And looking round on them which sat round about him, he said, Behold, my mother and my brothers!"
41003035,"For whoever will do the will of God, the same is my brother, and sister, and mother."
41004001,"And again he began to teach by the sea side. And there is gathered to him a very great crowd, so that he entered into a boat, and sat in the sea; and all the crowd were by the sea on the land."
41004002,"And he taught them many things in parables, and said to them in his teaching,"
41004003,"Listen: Behold, the sower went out to sow:"
41004004,"and it came to pass, as he sowed, some seed fell by the way side, and the birds came and devoured it."
41004005,"And other fell on the rocky ground, where it had not much earth; and immediately it sprang up, because it had no depth of earth:"
41004006,"and when the sun was risen, it was scorched; and because it had no root, it withered away."
41004007,"And other fell among the thorns, and the thorns grew up, and choked it, and it gave no fruit."
41004008,"And others fell into the good ground, and gave fruit, growing up and increasing; and brought out, thirty times, and sixty times, and a hundred times."
41004009,"And he said, Who has ears to hear, let him hear."
41004010,"And when he was alone, they that were about him with the twelve asked of him the parables."
41004011,"And he said to them, To you is given the mystery of the kingdom of God: but to them that are without, all things are done in parables:"
41004012,"that seeing they may see, and not know; and hearing they may hear, and not understand; lest by chance they should turn again, and it should be forgiven them."
41004013,"And he said to them, Know you not this parable? and how will you know all the parables?"
41004014,The sower sows the word.
41004015,"And these are they by the way side, where the word is sown; and when they have heard, immediately comes Satan, and takes away the word which has been sown in them."
41004016,"And these likewise are they that are sown upon the rocky places, who, when they have heard the word, immediately receive it with joy;"
41004017,"and they have no root in themselves, but endure for a while; then, when trouble or persecution got up because of the word, immediately they stumble."
41004018,"And others are they that are sown among the thorns; these are they that have heard the word,"
41004019,"and the cares of the world, and the deceit of riches, and the lusts of other things entering in, choke the word, and it becomes unfruitful."
41004020,"And those are they that were sown upon the good ground; such as hear the word, and accept it, and bear fruit, thirty times, and sixty times, and a hundred times."
41004021,"And he said to them, Is the lamp brought to be put under the bed, or under the bed, and not to be put on the stand?"
41004022,"For there is nothing hid, save that it should be manifested; neither was anything made secret, but that it should come to light."
41004023,"If any man has ears to hear, let him hear."
41004024,"And he said to them, Take notice what you hear: with what measure you use it will be measured to you: and more will be given to you."
41004025,"For he that has, to him will be given: and he that has not, from him will be taken away even that which he has."
41004026,"And he said, So is the kingdom of God, as if a man should cast seed upon the earth;"
41004027,"and should sleep and rise night and day, and the seed should spring up and grow, he knows not how."
41004028,"The earth brings out fruit of herself; first the blade, then the ear, then the full corn in the ear."
41004029,"But when the fruit is ripe, immediately he puts out the sickle, because the harvest is come."
41004030,"And he said, How will we liken the kingdom of God? or in what parable will we set it out?"
41004031,"It is like a grain of mustard seed, which, when it is sown upon the earth, though it be less than all the seeds that are upon the earth,"
41004032,"yet when it is sown, grows up, and becomes greater than all the herbs, and puts out great branches; so that the birds of the heaven can stay under the shadow of it."
41004033,"And with many such parables spoke he the word to them, as they were able to hear it:"
41004034,and without a parable spoke he not to them: but privately to his own disciples he explained all things.
41004035,"And on that day, when even was come, he said to them, Let us go over to the other side."
41004036,"And leaving the crowd, they take him with them, even as he was, in the boat. And other boats were with him."
41004037,"And there got up a great storm of wind, and the waves beat into the boat, so much so that the boat was now filling."
41004038,"And he himself was in the stern, asleep on the cushion: and they awake him, and say to him, Master, care you not that we perish?"
41004039,"And he awoke, and scolded the wind, and said to the sea, Peace, be still. And the wind ceased, and there was a great calm."
41004040,"And he said to them, Why are you fearful? have you not yet faith?"
41004041,"And they feared extremely, and said one to another, Who then is this, that even the wind and the sea obey him?"
41005001,"And they came to the other side of the sea, into the country of the Gerasenes."
41005002,"And when he was come out of the boat, immediately there met him out of the tombs a man with an unclean spirit,"
41005003,"who had his home in the tombs: and no man could any more bind him, no, not with a chain;"
41005004,"because that he had been often bound with shackles and chains, and the chains had been torn apart by him, and the shackles broken in pieces: and no man had strength to tame him."
41005005,"And always, night and day, in the tombs and in the mountains, he was crying out, and cutting himself with stones."
41005006,"And when he saw Jesus from afar, he ran and worshipped him;"
41005007,"and crying out with a loud voice, he said, What have I to do with you, Jesus, you Son of the Most High God? I beg you by God, torment me not."
41005008,"For he said to him, Come out, you unclean spirit, out of the man."
41005009,"And he asked him, What is your name? And he said to him, My name is Legion; for we are many."
41005010,And he begged him much that he would not send them away out of the country.
41005011,Now there was there on the mountain side a great herd of pigs feeding.
41005012,"And they begged him, saying, Send us into the pigs, that we may enter into them."
41005013,"And he gave them leave. And the unclean spirits came out, and entered into the pigs: and the herd rushed down the steep into the sea, in number about two thousand; and they were choked in the sea."
41005014,"And they that fed them fled, and told it in the city, and in the country. And they came to see what it was that had come to pass."
41005015,"And they come to Jesus, and behold him that was possessed with demons sitting, clothed and in his right mind, even him that had the legion: and they were afraid."
41005016,"And they that saw it declared to them how it befell him that was possessed with demons, and concerning the pigs."
41005017,And they began to beg him to leave from their borders.
41005018,"And as he was entering into the boat, he that had been possessed with demons begged him that he might be with him."
41005019,"And he suffered him not, but said to him, Go to your house to your friends, and tell them how great things the Lord has done for you, and how he had mercy on you."
41005020,"And he went his way, and began to announce in Decapolis how great things Jesus had done for him: and all men did marvel."
41005021,"And when Jesus had crossed over again in the boat to the other side, a great crowd was gathered to him: and he was by the sea."
41005022,"And there came one of the rulers of the synagogue, Jairus by name; and seeing him, he fell at his feet,"
41005023,"and pleading with him much, saying, My little daughter is at the point of death: I pray you, that you come and lay your hands on her, that she may be made whole, and live."
41005024,"And he went with him; and a great crowd followed him, and they crowded him."
41005025,"And a woman, which had an issue of blood twelve years,"
41005026,"and had suffered many things of many doctors, and had spent all that she had, and was nothing bettered, but rather grew worse,"
41005027,"having heard the things concerning Jesus, came in the crowd behind, and touched his garment."
41005028,"For she said, If I touch but his garments, I will be made whole."
41005029,And immediately the fountain of her blood was dried up; and she felt in her body that she was healed of her disease.
41005030,"And immediately Jesus, knowing in himself that the power originating from him had gone out, turned him about in the crowd, and said, Who touched my garments?"
41005031,"And his disciples said to him, You see the crowd crowding you, and say you, Who touched me?"
41005032,And he looked round about to see her that had done this thing.
41005033,"But the woman fearing and trembling, knowing what had been done to her, came and fell down before him, and told him all the truth."
41005034,"And he said to her, Daughter, your faith has made you whole; go in peace, and be whole of your disease."
41005035,"While he yet spoke, they come from the ruler of the synagogue’s house, saying, Your daughter is dead: why trouble you the Master any further?"
41005036,"But Jesus, not heeding the word spoken, said to the ruler of the synagogue, Fear not, only believe."
41005037,"And he suffered no man to follow with him, save Peter, and James, and John the brother of James."
41005038,"And they come to the house of the ruler of the synagogue; and he saw a riot, and many weeping and wailing greatly."
41005039,"And when he was entered in, he said to them, Why make you a riot, and weep? the child is not dead, but sleeps."
41005040,"And they laughed him to scorn. But he, having put them all out, takes the father of the child and her mother and them that were with him, and went in where the child was."
41005041,"And taking the child by the hand, he said to her, Talitha cumi; which is, being translated means, Girl, I say to you, Arise."
41005042,"And immediately the girl rose up, and walked; for she was twelve years old. And they were amazed immediately with a great amazement."
41005043,And he instructed them much that no man should know this: and he commanded that something should be given her to eat.
41006001,And he went out from there; and he came into his own country; and his disciples follow him.
41006002,"And when the sabbath was come, he began to teach in the synagogue: and many hearing him were astonished, saying, Where has this man these things? and, What is the wisdom that is given to this man, and what mean such mighty works done by his hands?"
41006003,"Is not this the carpenter, the son of Mary, and brother of James, and Joses, and Judas, and Simon? and are not his sisters here with us? And they were offended in him."
41006004,"And Jesus said to them, A prophet is not without honour, save in his own country, and among his own relatives, and in his own house."
41006005,"And he could there do no mighty work, save that he laid his hands upon a few sick people, and healed them."
41006006,And he marveled because of their unbelief. And he went round about the villages teaching.
41006007,"And he called to him the twelve, and began to send them out by two and two; and he gave them authority over the unclean spirits;"
41006008,"and he instructed them that they should take nothing for their journey, save a staff only; no bread, no wallet, no money in their belt;"
41006009,"but to go clothed with sandals: and, said he, put not on two coats."
41006010,"And he said to them, Wherever you enter into a house, there stay till you leave there."
41006011,"And whatever place will not receive you, and they hear you not, as you go out there, shake off the dust that is under your feet for a testimony to them."
41006012,"And they went out, and preached that men should repent."
41006013,"And they cast out many demons, and anointed with oil many that were sick, and healed them."
41006014,"And king Herod heard of it; for his name had become known: and he said, John the Baptist is risen from the dead, and therefore do these powers work in him."
41006015,"But others said, It is Elijah. And others said, It is a prophet, even as one of the prophets."
41006016,"But Herod, when he heard of it, said, John, whom I beheaded, he is risen."
41006017,"For Herod himself had sent out and laid hold upon John, and bound him in prison for the sake of Herodias, his brother Philip’s wife: for he had married her."
41006018,"For John said to Herod, It is not lawful for you to have your brother’s wife."
41006019,"And Herodias set herself against him, and desired to kill him; and she could not;"
41006020,"for Herod feared John, knowing that he was a righteous man and a holy, and kept him safe. And when he heard him, he was much bewildered; and he heard him gladly."
41006021,"And when a convenient day was come, that Herod on his birthday made a supper to his lords, and the high captains, and the chief men of Galilee;"
41006022,"and when the daughter of Herodias herself came in and danced, she pleased Herod and them that sat at table with him; and the king said to the girl, Ask of me whatever you will, and I will give it you."
41006023,"And he swore to her, Whatever you will ask of me, I will give it you, to the half of my kingdom."
41006024,"And she went out, and said to her mother, What will I ask? And she said, The head of John the Baptist."
41006025,"And she came in immediately with haste to the king, and asked, saying, I will that you at once give me in a platter the head of John the Baptist."
41006026,"And the king was very sorry; but for the sake of his oaths, and of them that sat at table, he would not reject her."
41006027,"And immediately the king sent out a soldier of his guard, and commanded to bring his head: and he went and beheaded him in the prison,"
41006028,"and brought his head in a platter, and gave it to the girl; and the girl gave it to her mother."
41006029,"And when his disciples heard of it, they came and took up his body, and laid it in a tomb."
41006030,"And the apostles gather themselves together to Jesus; and they told him all things, whatever they had done, and whatever they had taught."
41006031,"And he said to them, Come you yourselves privately into a deserted place, and rest a while. For there were many coming and going, and they had no opportunity so much as to eat."
41006032,And they went away in the boat to a deserted place privately.
41006033,"And the people saw them going, and many knew them, and they ran there together on foot from all the cities, and arrived before them."
41006034,"And he came out and saw a great crowd, and he had compassion on them, because they were as sheep not having a shepherd: and he began to teach them many things."
